GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_029661585.1	42024208	N/A	N/A	
GCA_029647105.1	42009728	N/A	N/A	
GCA_029655765.1	42018388	N/A	N/A	
GCA_029655725.1	42018358	N/A	N/A	
GCA_029661705.1	42024328	N/A	N/A	
GCA_029654305.1	42016928	N/A	N/A	
GCA_029655805.1	42018428	N/A	N/A	
GCA_029647545.1	42010178	N/A	N/A	
GCA_029648865.1	42011488	N/A	N/A	
GCA_029655645.1	42018268	N/A	N/A	
GCA_029653725.1	42016348	N/A	N/A	
GCA_029655745.1	42018368	N/A	N/A	
GCA_029653165.1	42015808	N/A	N/A	
GCA_029650285.1	42012908	N/A	N/A	
GCA_029654605.1	42017228	N/A	N/A	
GCA_029651425.1	42014048	N/A	N/A	
GCA_029648585.1	42011208	N/A	N/A	
GCA_029651125.1	42013748	N/A	N/A	
GCA_029649485.1	42012108	N/A	N/A	
GCA_029650365.1	42012988	N/A	N/A	
GCA_029650205.1	42012828	N/A	N/A	
GCA_029650845.1	42013468	N/A	N/A	
GCA_029651085.1	42013708	N/A	N/A	
GCA_029650525.1	42013148	N/A	N/A	
GCA_029649445.1	42012068	N/A	N/A	
GCA_029653965.1	42016588	N/A	N/A	
GCA_029649725.1	42012348	N/A	N/A	
GCA_029650345.1	42012968	N/A	N/A	
GCA_029653605.1	42016228	N/A	N/A	
GCA_029653885.1	42016508	N/A	N/A	
GCA_029654085.1	42016728	N/A	N/A	
GCA_029653205.1	42015828	N/A	N/A	
GCA_029653285.1	42015908	N/A	N/A	
GCA_029651165.1	42013788	N/A	N/A	
GCA_029661465.1	42024088	N/A	N/A	
GCA_029656925.1	42019548	N/A	N/A	
GCA_029647465.1	42010108	N/A	N/A	
GCA_029648885.1	42011508	N/A	N/A	
GCA_029648905.1	42011528	N/A	N/A	
GCA_029653485.1	42016108	N/A	N/A	
GCA_029653345.1	42015968	N/A	N/A	
GCA_029661565.1	42024188	N/A	N/A	
GCA_029653645.1	42016268	N/A	N/A	
GCA_029656825.1	42019468	N/A	N/A	
GCA_029661485.1	42024118	N/A	N/A	
GCA_029653245.1	42015878	N/A	N/A	
GCA_029647345.1	42009968	N/A	N/A	
GCA_029655175.1	42017798	N/A	N/A	
GCA_029655705.1	42018328	N/A	N/A	
GCA_029649265.1	42011898	N/A	N/A	
GCA_029647525.1	42010148	N/A	N/A	
GCA_029648645.1	42011268	N/A	N/A	
GCA_029648745.1	42011368	N/A	N/A	
GCA_029651285.1	42013918	N/A	N/A	
GCA_029653445.1	42016068	N/A	N/A	
GCA_029652225.1	42014848	N/A	N/A	
GCA_029651785.1	42014418	N/A	N/A	
GCA_029648845.1	42011468	N/A	N/A	
GCA_029649745.1	42012368	N/A	N/A	
GCA_029650245.1	42012868	N/A	N/A	
GCA_029650625.1	42013248	N/A	N/A	
GCA_029649345.1	42011968	N/A	N/A	
GCA_029653625.1	42016248	N/A	N/A	
GCA_029648665.1	42011288	N/A	N/A	
GCA_029655145.1	42017788	N/A	N/A	
GCA_029654665.1	42017288	N/A	N/A	
GCA_029647305.1	42009938	N/A	N/A	
GCA_029655205.1	42017828	N/A	N/A	
GCA_029653325.1	42015948	N/A	N/A	
GCA_029653385.1	42016008	N/A	N/A	
GCA_029662065.1	42024688	N/A	N/A	
GCA_029661865.1	42024498	N/A	N/A	
GCA_029653585.1	42016218	N/A	N/A	
GCA_029655065.1	42017688	N/A	N/A	
GCA_029650165.1	42012788	N/A	N/A	
GCA_029651045.1	42013668	N/A	N/A	
GCA_029653845.1	42016468	N/A	N/A	
GCA_029647365.1	42009988	N/A	N/A	
GCA_029647085.1	42009708	N/A	N/A	
GCA_029648805.1	42011428	N/A	N/A	
GCA_029653265.1	42015898	N/A	N/A	
GCA_029662225.1	42024858	N/A	N/A	
GCA_029661745.1	42024368	N/A	N/A	
GCA_029661885.1	42024508	N/A	N/A	
GCA_029653405.1	42016028	N/A	N/A	
GCA_029661425.1	42024058	N/A	N/A	
GCA_029654885.1	42017508	N/A	N/A	
GCA_029654925.1	42017548	N/A	N/A	
GCA_029658865.1	42021488	N/A	N/A	
GCA_029661445.1	42024068	N/A	N/A	
GCA_029652485.1	42015108	N/A	N/A	
GCA_029654625.1	42017258	N/A	N/A	
GCA_029654825.1	42017448	N/A	N/A	
GCA_029654845.1	42017478	N/A	N/A	
GCA_029654865.1	42017488	N/A	N/A	
GCA_029654965.1	42017598	N/A	N/A	
GCA_029656845.1	42019478	N/A	N/A	
GCA_029651545.1	42014188	N/A	N/A	
GCA_029651725.1	42014348	N/A	N/A	
GCA_029659405.1	42022028	N/A	N/A	
GCA_029658965.1	42021588	N/A	N/A	
GCA_029654645.1	42017268	N/A	N/A	
GCA_029654705.1	42017328	N/A	N/A	
GCA_029654905.1	42017528	N/A	N/A	
GCA_029652085.1	42014708	N/A	N/A	
GCA_029652465.1	42015088	N/A	N/A	
GCA_029658885.1	42021518	N/A	N/A	
GCA_029660165.1	42022788	N/A	N/A	
GCA_029659505.1	42022138	N/A	N/A	
GCA_029660145.1	42022768	N/A	N/A	
GCA_029660325.1	42022958	N/A	N/A	
GCA_029653425.1	42016048	N/A	N/A	
GCA_029660345.1	42022968	N/A	N/A	
GCA_029659445.1	42022078	N/A	N/A	
GCA_029660205.1	42022828	N/A	N/A	
GCA_029661505.1	42024128	N/A	N/A	
GCA_029661005.1	42023638	N/A	N/A	
GCA_029654005.1	42016628	N/A	N/A	
GCA_029662005.1	42024628	N/A	N/A	
GCA_029661985.1	42024608	N/A	N/A	
GCA_031163745.1	46973318	N/A	N/A	
GCA_029653525.1	42016148	N/A	N/A	
GCA_029655785.1	42018408	N/A	N/A	
GCA_029651465.1	42014088	N/A	N/A	
GCA_029659545.1	42022168	N/A	N/A	
GCA_029660105.1	42022738	N/A	N/A	
GCA_029654565.1	42017188	N/A	N/A	
GCA_029659025.1	42021648	N/A	N/A	
GCA_029659365.1	42021988	N/A	N/A	
GCA_029659455.1	42022088	N/A	N/A	
GCA_029660285.1	42022908	N/A	N/A	
GCA_029655045.1	42017668	N/A	N/A	
GCA_029654285.1	42016908	N/A	N/A	
GCA_029649305.1	42011928	N/A	N/A	
GCA_029658805.1	42021428	N/A	N/A	
GCA_029656385.1	42019008	N/A	N/A	
GCA_029652245.1	42014868	N/A	N/A	
GCA_029651145.1	42013768	N/A	N/A	
GCA_029649805.1	42012428	N/A	N/A	
GCA_029650765.1	42013388	N/A	N/A	
GCA_029651225.1	42013848	N/A	N/A	
GCA_029656885.1	42019508	N/A	N/A	
GCA_029648605.1	42011238	N/A	N/A	
GCA_029648625.1	42011248	N/A	N/A	
GCA_029648785.1	42011408	N/A	N/A	
GCA_029654545.1	42017168	N/A	N/A	
GCA_029661305.1	42023948	N/A	N/A	
GCA_029661545.1	42024168	N/A	N/A	
GCA_029651565.1	42014208	N/A	N/A	
GCA_029652305.1	42014928	N/A	N/A	
GCA_029654265.1	42016888	N/A	N/A	
GCA_029650425.1	42013058	N/A	N/A	
GCA_029651265.1	42013888	N/A	N/A	
GCA_029659045.1	42021668	N/A	N/A	
GCA_029660925.1	42023548	N/A	N/A	
GCA_029649585.1	42012208	N/A	N/A	
GCA_029650445.1	42013068	N/A	N/A	
GCA_029650105.1	42012728	N/A	N/A	
GCA_029650265.1	42012888	N/A	N/A	
GCA_029658945.1	42021568	N/A	N/A	
GCA_029659085.1	42021708	N/A	N/A	
GCA_029659285.1	42021908	N/A	N/A	
GCA_029659145.1	42021768	N/A	N/A	
GCA_029651305.1	42013928	N/A	N/A	
GCA_029659245.1	42021868	N/A	N/A	
GCA_029651485.1	42014108	N/A	N/A	
GCA_029654425.1	42017048	N/A	N/A	
GCA_029659225.1	42021848	N/A	N/A	
GCA_029651245.1	42013868	N/A	N/A	
GCA_029651805.1	42014428	N/A	N/A	
